Job Title,Company Name,Classification,Job Type,Location,Job Highlights,Job Description,Salary,Posting Date,Reference
CRM & Marketing Automation Specialist,DiJones Real Estate,Direct Marketing & CRM,Full time job,Brookvale,"['Hands-on experience with customer engagement platforms.', 'Proven marketing automation expertise.', 'Skilled in journey orchestration and optimization.']",Are you ready to transform customer experiences and drive engagement through innovative marketing automation?,Not Provided,21h ago,https://www.seek.com.au/job/80861165?type=standout&ref=search-standalone
Senior Business Analyst,Karlka Recruiting Group,Government - Federal,Contract/Temp job,Sydney NSW,"['Opportunity for extensions and growth within federal government', 'WFH flexibility', 'Full time hours - 38 per week']",Contract until 24/07/2025 + extensions | Sydney Location | Baseline Security Clearance desired | Federal Government Agency,Not Provided,21h ago,https://www.seek.com.au/job/80861164?type=standout&ref=search-standalone
People Systems & Insights Analyst - Taronga Zoo,Taronga Conservation Society Australia,Business/Systems Analysts,Full time job,Mosman,"['Are you passionate about people systems and streamlining processes?', 'Join a new People Systems & Transformation team', 'Located at either Taronga Zoo, Mosman or Taronga Western Plains Zoo, Dubbo']",Taronga Zoo are looking for an experienced HRIS and reporting professional to join us for two-year contract.,"Annual salary package from $109,486 to $112,938",21h ago,https://www.seek.com.au/job/80861047?type=standout&ref=search-standalone
Regular Giving Coordinator,Royal Far West,Fundraising,Full time job,Manly,"['Have a career that has a positive impact helping rural kids', 'Flexible working arrangements, with an office right on Manly Beach', 'Join a passionate and dedicated team of professionals']",Use your excellent client relationship skills with the acquisition and retention of our regular givers at Royal Far West.,Not Provided,21h ago,https://www.seek.com.au/job/80860976?type=standout&ref=search-standalone
Regulatory Reporting & Compliance Analyst,Keegan Adams Recruitment Pty Ltd,Compliance & Risk,Full time job,Sydney NSW,[],Global Investment firm seeks an OST Senior analyst to join their team—an exciting chance to excel in Compliance and Governance.,"Up to $100,000pa + super",21h ago,https://www.seek.com.au/job/80860916?type=standard&ref=search-standalone
Digital Producer,Attribute Group,Web Development & Production,Contract/Temp job,Sydney NSW,"['Hybrid working', 'Long term contract with potential to convert to permanent down the line', 'Excellent day rate on ofer']",Household Australian brand requires an experienced Digital Producer to work on innovative product and content initiatives,Not Provided,21h ago,https://www.seek.com.au/job/80860872?type=standout&ref=search-standalone
Head of FP&A,Sharp & Carter Finance & Accounting Syd,Management Accounting & Budgeting,Full time job,Sydney NSW,"['FP&A leader required to business partner and present to the executive team', 'Broad role with vast variety in a customer focussed business', 'Hybrid working with car parking in a CBD / South location']",Fantastic career opportunity with succession planning to lead the FP&A team and drive performance within a great business,"Up to $190,000 + Super + Bonus",21h ago,https://www.seek.com.au/job/80860845?type=standout&ref=search-standalone
Manager Claims Fraud Prevention,Australian Reinsurance Pool Corporation,Claims,Full time job,Sydney NSW,"['Flexible and Hybrid Working', 'Great Opportunity for Career Development', 'Make a difference to Australian Communities']",This role is responsible for managing ARPC’s claims prevention program of work for both the terrorism and cyclone pools.,Not Provided,21h ago,https://www.seek.com.au/job/80860808?type=standout&ref=search-standalone
Scrum Master - Investments,Rest Industry Super,Product Management & Development,Contract/Temp job,Sydney NSW,[],"Perform the role of team facilitator: responsible for facilitating the Scrum meetings including daily stand-up, sprint planning, sprint review, and...",Not Provided,21h ago,https://www.seek.com.au/job/80866148?type=standard&ref=search-standalone
Client Success Manager (ecommerce),Overdose,Web Development & Production,Full time job,Sydney NSW,[],We are on the hunt for an Client Success Manager to work with some of retail’s top brands on accelerating their growth through smart eCommerce.,"$90,000 – $110,000 per year",21h ago,https://www.seek.com.au/job/80859859?type=standout&ref=search-standalone
Lab Supervisor: Start Fresh in 2024 with a Career in Egg Production!,Pace Farm,Laboratory & Technical Services,Full time job,Minchinbury,"['Lead a team ensuring top-quality standards in egg production', 'Grow with continuous learning and career development opportunities', 'Enjoy regular free products and work close to home in Western Sydney']","Start fresh in the new year! Lead the lab at Pace Farm, overseeing testing, ensuring quality, and driving excellence in egg processing. Apply now!",Not Provided,22h ago,https://www.seek.com.au/job/80860443?type=standout&ref=search-standalone
Financial Analyst – Rates and Payroll,The Hills Shire Council,Payroll,Full time job,Baulkham Hills,"['Permanent Full-time role', 'Learning and Development Opportunities', 'Proactive Wellbeing Initiatives']",Council is seeking a suitably qualified Financial professional to join the Rates team in the role of Financial Analyst – Rates and Payroll,Starting from $114K per annum plus Superannuation,22h ago,https://www.seek.com.au/job/80860373?type=standout&ref=search-standalone
Business Analyst,Balance Recruitment,Business/Systems Analysts,Contract/Temp job,Macquarie Park,[],This client operates in the not for profit space and is kicking off a brand new program of work in January with a Applications/ regulatory focus,Competitive daily rate,22h ago,https://www.seek.com.au/job/80860331?type=standard&ref=search-standalone
Finance and Sustainability Analyst,People2people - Managed Services,Analysis & Reporting,Full time job,Homebush,[],"• Samsung Electronics 

• 12 Month Contract 

• Onsite Parking",Competitive,22h ago,https://www.seek.com.au/job/80860271?type=standard&ref=search-standalone
Lead GIS Analyst,Aurec,Other,Full time job,Sydney NSW,[],"Climate change is one of the greatest challenges facing the world today.  Apply here to be part of the solution.

Remote working throughout Aus.",Circa $130k plus super,22h ago,https://www.seek.com.au/job/80860256?type=standard&ref=search-standalone
Analytics and Insights Manager,Michael Page,Other,Full time job,Sydney NSW,[],This position seeks a dedicated and skilled Analytics and Insights Manager to lead the team in the Retail industry.,$162k - $198k p.a. + Plus Superannuation,22h ago,https://www.seek.com.au/job/80860199?type=standard&ref=search-standalone
Business Process Analyst,Morgan McKinley,Business/Systems Analysts,Full time job,Sydney NSW,"['Leading Integrated Proprty Group', 'Circa $100-120,000 + Super', 'Central CBD location - 5 days in the office']","Join a dynamic, integrated property group as a Business Process Analyst, where you'll optimise workflows and drive efficiencies. $100-120,000 + Super.",$100000.00 - $120000.00 p.a. + Super,22h ago,https://www.seek.com.au/job/80860096?type=standout&ref=search-standalone
Change Manager - 18 mth Contract - Sydney,GrainCorp,Consultants,Contract/Temp job,Sydney NSW,[],We are seeking a Change Manager on contract for approximately 18mths. This role is based out of the International Towers on the harbour foreshore o...,Not Provided,22h ago,https://www.seek.com.au/job/80861826?type=standard&ref=search-standalone
Senior Digital Strategist,Miyagi,Digital & Search Marketing,Full time job,Sydney NSW,[],"Power Our Next Chapter of Growth - Are you ready to roll up your sleeves, optimise with precision, and deliver campaigns that convert? Join our team!","$80,000 – $90,000 plus Performance Bonuses",22h ago,https://www.seek.com.au/job/80860036?type=standard&ref=search-standalone
"Senior Analyst, Fund Management | Macquarie Asset Management",Macquarie Group Limited,Funds Management,Full time job,Sydney NSW,[],"In this role, you will be a trusted business partner engaging with stakeholders, internal support teams and external service providers to enhance o...",Not Provided,22h ago,https://www.seek.com.au/job/80861735?type=standard&ref=search-standalone
People & Culture Data Analyst,Cerebral Palsy Alliance,Business/Systems Analysts,Full time job,Allambie Heights,"['Design and implement solutions to track and report on key people metrics', 'Work with key stakeholders across the business to support initiatives', 'Help build our insights capabilities from the ground up']","Implement, develop, analyse and interpret people analytics to inform business decisions and drive business outcomes",Not Provided,22h ago,https://www.seek.com.au/job/80859779?type=standout&ref=search-standalone
Senior Applications Specialist,Capstone Recruitment Group Pty Ltd,Help Desk & IT Support,Full time job,Sydney NSW,"['Provide SME advisory for key business applications', 'Work across the business to ensure consistent application performance', 'Play a key part in new projects and the delivery of solutions']",Join a wider team of IT specialists within a maturing Technology capability,Not Provided,22h ago,https://www.seek.com.au/job/80859712?type=standout&ref=search-standalone
Administration Officer,BXD Project Pty Ltd,Administrative Assistants,Full time job,Homebush West,"['Competitive salary and benefits package.', 'Opportunity to be part of a new and dynamic team within a reputable company.', 'Room for professional growth and development.']","Join BXD as an Administration Officer to drive smooth operations across admin, finance, and marketing with your proactive and versatile skills.","$60,000 – $80,000 per year",22h ago,https://www.seek.com.au/job/80859344?type=standout&ref=search-standalone
